Designator,Mid X,Mid Y,Rotation,Layer
C1,154.225000,-36.000000,0.000000,top
C2,154.225000,-34.000000,0.000000,top
C3,91.275000,-82.000000,180.000000,top
C4,91.275000,-80.500000,180.000000,top
D1,81.712499,-34.000000,0.000000,top
D2,81.437501,-88.500000,0.000000,top
D3,81.437501,-96.500000,0.000000,top
D4,81.437501,-80.500000,0.000000,top
D5,81.062500,-72.050000,0.000000,top
J3,78.367501,-50.270000,270.000000,top
J4,103.0800,-26.000000,180.000000,top
J5,84.08000,-26.000000,180.000000,top
R2,189.000000,-38.000000,270.000000,top
R4,189.675000,-35.325000,180.000000,top
R5,189.675000,-30.000000,180.000000,top
R6,189.000000,-32.675000,90.000000,top
R7,191.325000,-21.850000,180.000000,top
R8,189.675000,-25.350000,180.000000,top
R9,189.000000,-23.025000,90.000000,top
R10,189.000000,-27.675000,90.000000,top
R11,78.000000,-70.500000,90.000000,top
R12,78.000000,-74.225000,90.000000,top
R13,78.000000,-78.825000,90.000000,top
R14,78.000000,-82.325000,90.000000,top
R15,78.000000,-86.825000,90.000000,top
R16,78.000000,-90.325000,90.000000,top
R17,78.000000,-94.825000,90.000000,top
R18,78.000000,-98.325000,90.000000,top
R19,85.175000,-72.000000,0.000000,top
R20,85.175000,-80.500000,0.000000,top
R21,85.175000,-88.490000,0.000000,top
R22,85.175000,-96.500000,0.000000,top
R23,85.175001,-34.000000,0.000000,top
U1,154.350000,-38.950000,270.000000,top
U2,97.000000,-82.000000,270.000000,top
